velocity,Cd
0.139,0.5
0.435,0.426
0.89,0.362
1.437,0.329
1.981,0.311
2.52,0.298
3.054,0.289
3.585,0.282
4.111,0.276
4.633,0.271
5.151,0.267
5.667,0.264
6.181,0.26
6.693,0.258
7.204,0.255
7.713,0.253
8.221,0.251
8.726,0.249
9.23,0.247
9.733,0.245
10.233,0.244
10.732,0.242
11.229,0.241
11.724,0.24
12.217,0.239
12.709,0.239
13.199,0.239
13.687,0.239
14.416,0.239
15.505,0.239
17.129,0.24
19.509,0.24
21.859,0.24
24.179,0.24
26.483,0.24
28.776,0.24
31.058,0.24
33.327,0.24
35.583,0.241
37.821,0.241
40.032,0.241
42.215,0.241
44.37,0.241
46.495,0.242
48.574,0.242
50.601,0.242
52.576,0.242
54.497,0.242
56.364,0.243
58.167,0.243
59.898,0.243
61.557,0.243
63.145,0.244
64.661,0.244
66.11,0.244
67.492,0.244
68.808,0.244
70.057,0.245
71.239,0.245
72.339,0.245
73.352,0.245
74.278,0.245
75.12,0.245
75.875,0.245
76.507,0.246
76.981,0.246
77.253,0.246
77.32,0.246
100,
