V,Fd
0,0
0.052,0
0.042,0
0.032,0
0.022,0
0.012,0
0.002,0
0.008,0
0.027,0
0.056,0
0.095,0.00001
0.144,0.00004
0.204,0.00008
0.275,0.00013
0.358,0.0002
0.452,0.00028
0.557,0.00038
0.674,0.00051
0.803,0.00066
0.942,0.00086
1.094,0.001
1.258,0.001
1.435,0.002
1.624,0.002
1.825,0.003
2.039,0.003
2.266,0.004
2.505,0.005
2.758,0.005
3.023,0.006
3.301,0.007
3.592,0.009
3.897,0.01
4.219,0.012
4.559,0.013
4.916,0.015
5.286,0.017
5.669,0.02
6.067,0.022
6.465,0.025
6.856,0.028
7.24,0.031
7.617,0.034
7.986,0.037
8.348,0.04
8.701,0.044
9.043,0.047
9.375,0.05
9.697,0.053
10.012,0.057
10.321,0.06
10.627,0.063
10.927,0.067
11.37,0.072
12.014,0.079
12.946,0.092
14.259,0.112
15.504,0.132
16.711,0.154
17.882,0.176
19.017,0.199
20.129,0.223
21.219,0.248
22.287,0.274
23.336,0.301
24.371,0.328
25.391,0.356
26.398,0.385
27.396,0.415
28.386,0.446
29.368,0.477
30.344,0.51
31.396,0.546
32.39,0.581
33.372,0.617
34.348,0.654
35.319,0.691
36.286,0.73
37.246,0.769
38.197,0.809
39.138,0.85
40.071,0.891
40.994,0.933
41.911,0.975
42.824,1.019
43.73,1.062
44.632,1.107
45.527,1.152
46.415,1.198
47.294,1.244
48.164,1.29
49.026,1.337
49.879,1.384
50.723,1.432
51.554,1.48
52.373,1.527
53.179,1.575
53.973,1.623
54.754,1.67
55.531,1.718
56.305,1.767
57.075,1.816
57.842,1.865
58.606,1.915
59.367,1.965
60.124,2.016
60.873,2.067
61.612,2.118
62.34,2.168
63.059,2.219
63.767,2.269
63.928,2.28
