Altitude (m),Air Density (kg/m^3)
0,1.225
1,1.2248547717844025
2,1.2247095607861394
3,1.2245643670031694
4,1.2244191904334518
5,1.2242740310749456
6,1.2241288889256106
7,1.2239837639834064
8,1.2238386562462933
9,1.2236935657122314
10,1.223548492379181
11,1.2234034362451034
12,1.223258397307959
13,1.2231133755657093
14,1.2229683710163162
15,1.2228233836577405
16,1.2226784134879451
17,1.2225334605048916
18,1.2223885247065427
19,1.222243606090861
20,1.2220987046558096
21,1.2219538203993514
22,1.22180895331945
23,1.2216641034140692
24,1.2215192706811724
25,1.2213744551187244
26,1.221229656724689
27,1.2210848754970312
28,1.2209401114337155
29,1.2207953645327074
30,1.2206506347919721
31,1.220505922209475
32,1.2203612267831823
33,1.2202165485110597
34,1.2200718873910736
35,1.2199272434211907
36,1.219782616599378
37,1.219638006923602
38,1.2194934143918301
39,1.21934883900203
40,1.2192042807521695
41,1.2190597396402163
42,1.218915215664139
43,1.218770708821906
44,1.2186262191114858
45,1.2184817465308475
46,1.2183372910779602
47,1.2181928527507935
48,1.2180484315473172
49,1.2179040274655009
50,1.2177596405033149
51,1.2176152706587295
52,1.2174709179297156
53,1.2173265823142438
54,1.2171822638102856
55,1.217037962415812
56,1.2168936781287947
57,1.216749410947206
58,1.216605160869017
59,1.216460927892201
60,1.2163167120147298
61,1.216172513234577
62,1.2160283315497151
63,1.2158841669581175
64,1.215740019457758
65,1.2155958890466099
66,1.2154517757226475
67,1.215307679483845
68,1.215163600328177
69,1.215019538253618
70,1.2148754932581431
71,1.2147314653397274
72,1.2145874544963466
73,1.2144434607259764
74,1.2142994840265924
75,1.214155524396171
76,1.2140115818326886
77,1.213867656334122
78,1.2137237478984477
79,1.213579856523643
80,1.2134359822076854
81,1.2132921249485524
82,1.213148284744222
83,1.2130044615926723
84,1.2128606554918813
85,1.2127168664398278
86,1.2125730944344906
87,1.2124293394738488
88,1.2122856015558814
89,1.2121418806785682
90,1.211998176839889
91,1.2118544900378239
92,1.2117108202703528
93,1.2115671675354565
94,1.2114235318311155
95,1.211279913155311
96,1.2111363115060239
97,1.2109927268812357
98,1.2108491592789283
99,1.2107056086970835
100,1.2105620751336836
101,1.2104185585867107
102,1.2102750590541478
103,1.2101315765339773
104,1.2099881110241828
105,1.2098446625227477
106,1.2097012310276551
107,1.209557816536889
108,1.2094144190484337
109,1.2092710385602736
110,1.2091276750703928
111,1.2089843285767765
112,1.2088409990774094
113,1.2086976865702772
114,1.208554391053365
115,1.2084111125246586
116,1.208267850982144
117,1.2081246064238078
118,1.2079813788476361
119,1.2078381682516157
120,1.2076949746337333
121,1.2075517979919765
122,1.2074086383243325
123,1.207265495628789
124,1.2071223699033338
125,1.2069792611459549
126,1.2068361693546412
127,1.2066930945273808
128,1.2065500366621627
129,1.206406995756976
130,1.2062639718098103
131,1.2061209648186548
132,1.2059779747814994
133,1.2058350016963342
134,1.2056920455611493
135,1.2055491063739354
136,1.2054061841326833
137,1.2052632788353839
138,1.2051203904800283
139,1.2049775190646084
140,1.2048346645871153
141,1.2046918270455413
142,1.2045490064378788
143,1.2044062027621198
144,1.204263416016257
145,1.2041206461982839
146,1.2039778933061926
147,1.2038351573379775
148,1.2036924382916314
149,1.2035497361651488
150,1.2034070509565233
151,1.2032643826637495
152,1.203121731284822
153,1.2029790968177354
154,1.2028364792604846
155,1.2026938786110655
156,1.202551294867473
157,1.2024087280277032
158,1.202266178089752
159,1.2021236450516153
160,1.20198112891129
161,1.2018386296667727
162,1.2016961473160603
163,1.20155368185715
164,1.2014112332880391
165,1.2012688016067257
166,1.201126386811207
167,1.2009839888994815
168,1.2008416078695474
169,1.2006992437194037
170,1.200556896447049
171,1.2004145660504821
172,1.2002722525277028
173,1.2001299558767102
174,1.1999876760955044
175,1.1998454131820853
176,1.1997031671344531
177,1.1995609379506087
178,1.1994187256285522
179,1.199276530166285
180,1.1991343515618083
181,1.1989921898131233
182,1.198850044918232
183,1.198707916875136
184,1.1985658056818378
185,1.1984237113363396
186,1.198281633836644
187,1.1981395731807538
188,1.1979975293666723
189,1.1978555023924027
190,1.197713492255949
191,1.1975714989553143
192,1.197429522488503
193,1.1972875628535193
194,1.197145620048368
195,1.197003694071054
196,1.1968617849195815
197,1.1967198925919564
198,1.1965780170861842
199,1.19643615840027
200,1.1962943165322204
201,1.1961524914800412
202,1.1960106832417392
203,1.1958688918153204
204,1.1957271171987924
205,1.1955853593901618
206,1.1954436183874364
207,1.1953018941886233
208,1.195160186791731
209,1.195018496194767
210,1.1948768223957396
211,1.1947351653926577
212,1.1945935251835298
213,1.194451901766365
214,1.1943102951391729
215,1.1941687052999623
216,1.1940271322467435
217,1.193885575977526
218,1.1937440364903205
219,1.193602513783137
220,1.1934610078539867
221,1.1933195187008796
222,1.1931780463218278
223,1.193036590714842
224,1.1928951518779343
225,1.1927537298091162
226,1.1926123245063998
227,1.1924709359677976
228,1.192329564191322
229,1.192188209174986
230,1.1920468709168024
231,1.1919055494147848
232,1.191764244666946
233,1.1916229566713004
234,1.1914816854258616
235,1.1913404309286442
236,1.1911991931776622
237,1.1910579721709302
238,1.1909167679064638
239,1.1907755803822775
240,1.1906344095963868
241,1.1904932555468075
242,1.1903521182315553
243,1.1902109976486461
244,1.190069893796097
245,1.1899288066719234
246,1.1897877362741431
247,1.1896466826007723
248,1.1895056456498292
249,1.1893646254193304
250,1.189223621907294
251,1.189082635111738
252,1.1889416650306808
253,1.1888007116621404
254,1.1886597750041357
255,1.1885188550546855
256,1.1883779518118092
257,1.1882370652735257
258,1.1880961954378553
259,1.187955342302817
260,1.1878145058664318
261,1.1876736861267192
262,1.1875328830817002
263,1.1873920967293954
264,1.187251327067826
265,1.1871105740950127
266,1.186969837808978
267,1.1868291182077428
268,1.1866884152893293
269,1.1865477290517599
270,1.1864070594930565
271,1.1862664066112423
272,1.18612577040434
273,1.1859851508703725
274,1.1858445480073634
275,1.1857039618133363
276,1.1855633922863151
277,1.1854228394243236
278,1.1852823032253863
279,1.1851417836875278
280,1.1850012808087727
281,1.184860794587146
282,1.184720325020673
283,1.1845798721073793
284,1.1844394358452905
285,1.1842990162324323
286,1.1841586132668314
287,1.1840182269465136
288,1.183877857269506
289,1.1837375042338352
290,1.1835971678375283
291,1.183456848078613
292,1.1833165449551166
293,1.183176258465067
294,1.183035988606492
295,1.1828957353774203
296,1.18275549877588
297,1.1826152787999
298,1.1824750754475095
299,1.1823348887167373
300,1.1821947186056132
301,1.1820545651121668
302,1.1819144282344278
303,1.1817743079704266
304,1.1816342043181938
